year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2001,Manufacturing,58469,8816,132,3,7996,0,49653,0,14449,5979,3366,0,3832,4153,44020,11751,7259,4492,2299,1016,0,728
2002,Manufacturing,60463,10531,413,0,9302,0,49931,0,19677,10416,8179,0,5061,0,40786,11376,8874,2502,231,-874,0,-797
2003,Manufacturing,58241,7745,0,8,5616,0,48216,0,19747,13577,11958,0,5810,359,38494,18344,17753,591,-1189,-2022,-32,-1981
2004,Manufacturing,59062,6055,0,29,4070,0,47701,0,22426,17018,15801,0,4420,988,36637,19639,15036,4603,2699,-5062,-102,-4924
2005,Manufacturing,56318,6666,0,0,5796,0,45787,0,20314,15373,14654,0,4204,736,36004,11549,6119,5430,3890,1215,254,872
2006,Manufacturing,47696,5937,347,77,487,0,37155,0,6632,5579,3655,567,0,1053,41064,14960,7833,7127,5324,7159,1183,5561
2007,Manufacturing,52569,7884,796,0,693,7,35410,0,7890,6105,5600,0,0,1784,44680,11331,7083,4247,7205,6985,952,5698
2008,Manufacturing,50319,11011,91,1961,93,0,32365,0,6211,4285,3866,20,0,1926,44108,8481,5583,2898,4031,3832,555,3083
2009,Manufacturing,54308,15079,41,2,82,0,33837,0,10498,5887,5281,0,0,4611,43810,10825,7139,3686,613,566,124,400
2010,Manufacturing,52473,15202,52,8367,153,0,32089,7,8517,4325,3572,0,0,4193,0,14868,7168,7700,5874,5853,836,4723
2011,Manufacturing,56784,20143,40,12699,222,0,31260,21,7374,4096,3529,0,0,3278,49410,15487,7172,8315,8360,8362,1395,6967
2012,Manufacturing,83164,10975,233,10224,328,0,56532,29,15123,1876,1218,0,0,13247,68041,15827,7607,8220,9342,9340,1418,7922
2013,Manufacturing,83201,14603,32,13923,253,0,55333,122,19292,6574,6237,0,0,12718,63909,11762,9017,2745,-56,-57,-7,-50
