year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,67608,11568,3022,0,4262,0,54870,802,20658,14875,10901,1535,0,0,46950,19723,18144,1579,-496,-2084,0,-2084
1998,Manufacturing,70138,13716,487,0,4211,0,55133,596,22756,18697,11717,20,0,0,47382,28212,23762,4450,842,246,146,46
1999,Manufacturing,71954,12438,86,0,3558,0,55280,3,20609,12963,6776,0,0,0,51346,27768,25539,2229,-1005,2113,177,1805
2000,Manufacturing,68678,12574,89,1256,2531,0,53740,3,16771,11351,9798,0,5284,0,51908,27444,26311,1133,-2043,87,171,-144
2001,Manufacturing,71780,14929,0,918,3402,895,52511,3,19996,16696,12981,0,3301,0,51783,15211,12859,2352,-389,572,176,335
2002,Manufacturing,78136,19872,0,855,8598,1036,53853,0,23345,18860,16681,0,2091,767,54790,13751,10058,3693,1332,4193,222,3893
2003,Manufacturing,73927,24742,0,12,5796,909,44601,0,24914,18302,17278,0,5975,636,49014,14275,10043,4231,1720,249,596,-567
2004,Manufacturing,65560,21478,268,0,251,0,43201,0,16543,11551,9931,374,198,2460,49017,9941,5218,4723,1768,1840,324,1276
2005,Manufacturing,62364,19741,47,0,277,0,39787,0,16334,12879,12677,0,0,2015,46030,8049,5627,2422,-245,118,202,-234
2006,Manufacturing,46979,8566,120,8,138,0,35835,0,5925,2545,1095,0,0,1367,41054,6296,5453,843,-1461,-1266,0,-1266
2007,Manufacturing,50347,11087,46,0,142,0,37120,0,5590,2333,1908,0,0,1222,44757,8521,5364,3157,1830,1873,206,1515
2008,Manufacturing,50442,14741,939,0,180,0,34921,0,5764,3067,2855,0,0,742,0,10566,5423,5143,2877,2711,478,1879
2009,Manufacturing,52237,18922,417,0,137,0,32696,0,5825,2917,716,130,0,869,46413,10465,3487,6978,5078,5040,639,4402
2010,Manufacturing,66321,29992,120,0,122,0,36032,0,15358,3441,1917,99,0,0,50963,11450,6047,5403,5176,5869,667,5202
2011,Manufacturing,62467,24200,107,0,153,0,35415,0,17179,6062,1784,9,0,9292,45288,6486,4187,2299,-4408,-3439,312,-3751
2012,Manufacturing,58515,21395,123,0,139,0,34869,0,13566,2659,1663,39,0,8795,44949,6742,5015,1727,-351,543,227,316
