year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2005,Manufacturing,493304,131983,0,28070,20078,5966,289706,64644,240642,36441,13598,0,145062,59138,252663,229742,142868,86874,72610,68594,21143,47452
2006,Manufacturing,516289,112754,49455,29442,22318,5818,333639,60941,263186,69652,24104,45549,132595,60938,253102,234950,140658,94292,80039,70490,21895,48595
2007,Manufacturing,559763,121929,50117,38686,26553,0,368586,57072,347318,117050,29370,73408,161214,67460,212445,306850,173269,133581,120620,111721,31360,70535
2008,Manufacturing,637109,148483,46077,51867,43591,0,410808,54471,409069,96909,34211,51121,222566,88003,228040,498309,304955,193355,177956,160892,48027,104438
2009,Manufacturing,643890,136857,25615,59931,35703,8978,408618,51011,410858,113228,31794,78946,226979,67308,233032,404773,273092,131681,116428,106135,29590,71354
2010,Manufacturing,706009,134740,53160,43658,31916,0,476207,57607,437166,88320,33806,45672,282321,65924,0,427361,290112,137250,140241,125078,38242,86836
2011,Manufacturing,877747,125220,22523,44702,47909,5247,647260,64474,541627,107940,45393,45475,369794,63282,336120,433586,277004,156582,139040,128810,39704,89105
2012,Manufacturing,1374739,203565,99126,57246,36644,18524,1038188,64464,812120,138118,51718,75552,603773,69594,562619,507388,327641,179747,155826,150172,47257,102915
2013,Manufacturing,1529629,222883,25678,87311,79394,5528,1170536,80179,886046,264828,50866,202080,536711,82413,643583,614531,367695,246836,227652,187208,58821,128387
2014,Manufacturing,1724092,197488,28530,75971,82770,712,1380136,95316,987733,262095,51532,192200,622837,100849,736359,618881,353812,265069,238304,198765,61197,137568
