year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,84784,27560,3468,0,18106,0,41604,0,11114,11114,8160,312,0,0,73670,46173,33180,12993,-2382,-679,242,-921
1993,Manufacturing,82721,24592,4482,0,11829,0,37463,0,6921,6921,3885,216,0,0,75800,53864,33505,20359,5025,5930,1026,4524
1994,Manufacturing,93236,34852,3693,0,14677,0,26770,0,14067,14067,8667,153,0,0,79170,63841,36493,27348,12707,18096,2636,14483
1995,Manufacturing,368403,32871,3418,0,19263,0,49543,0,16683,16683,7278,246,0,0,351720,77671,45841,31830,9791,18277,3348,13690
1996,Manufacturing,101338,40687,6321,0,20143,0,50574,0,9428,9428,3191,472,0,0,91911,83321,50913,32408,10950,14676,2716,10955
1997,Manufacturing,113722,52480,18858,11314,19657,0,49320,0,15502,15502,9397,99,0,0,98220,86124,46409,39716,17919,16839,4637,10484
1998,Manufacturing,99642,48780,3894,0,18240,0,50811,0,13768,13768,11940,46,0,0,85874,70600,39129,31471,11695,12401,3062,8206
1999,Manufacturing,68350,33745,5236,5748,10620,0,33588,0,6182,6182,4958,918,0,0,62168,46520,29777,16743,-615,-1990,-692,-1042
2000,Manufacturing,61645,29548,2734,5066,13074,0,32028,0,7025,7025,3046,294,0,0,54620,42874,28682,14192,-1297,292,305,-125
2001,Manufacturing,65464,34956,2471,5614,11739,0,28544,0,10104,10104,9411,694,0,0,55359,47340,31747,15593,-828,3910,1434,1944
2002,Manufacturing,75443,46368,20019,6395,12671,0,27728,0,21718,21718,21261,457,0,0,53725,62504,41118,21386,5407,5693,1582,3460
2003,Manufacturing,71934,44731,0,3905,12394,117,26079,15,19703,19703,5651,0,0,0,52231,55008,39274,15733,892,2529,1705,91
2004,Manufacturing,53821,22928,0,3845,12800,79,23734,52,8366,8366,8226,0,0,0,45454,55934,41693,14241,1021,1739,878,537
2005,Manufacturing,50013,27621,0,3870,16427,110,21086,95,10496,10496,10115,0,0,0,39516,61170,45099,16070,3973,5400,1582,3232
2006,Manufacturing,46548,26226,4003,5172,16400,0,19907,74,10959,10959,7089,0,0,0,35588,82196,58530,23666,9303,11460,3825,6219
2007,Manufacturing,62276,39297,11825,6209,20190,0,22094,146,22193,22193,16102,0,0,0,40083,111978,76588,35390,19207,19096,5822,11117
2008,Manufacturing,114656,38619,2047,4223,26771,39,75199,223,76431,76431,68819,0,0,0,38225,131048,84636,46412,31541,31082,8693,19168
2009,Manufacturing,118938,55328,14235,4963,25831,36,62574,319,70540,31367,20506,0,39173,0,48398,136652,92620,44031,27559,27495,7927,16633
2010,Manufacturing,127658,65725,8484,10466,35916,34,61675,225,75522,58537,29952,19835,15612,1374,0,153314,105661,47652,31343,29772,6849,20386
2011,Manufacturing,115934,54598,2423,7702,36449,155,61003,178,65676,57700,19373,18335,5966,2010,50258,159191,114971,44220,24400,23530,7176,16354
2012,Manufacturing,227376,72303,4912,11427,37958,159,154640,273,73969,67666,44157,0,1278,5026,153406,209191,145773,63418,33509,33378,9998,23380
2013,Manufacturing,249414,76697,13897,21431,32808,157,170843,1718,74389,69336,27356,23425,0,5054,175025,216295,153776,62519,36970,34988,10850,24138
