year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,55103,38833,2562,0,28423,0,15715,0,25850,19661,4162,3702,0,0,29252,83465,62348,21117,4967,7228,1901,4607
1993,Manufacturing,60577,42481,1780,0,29666,0,16633,0,19342,16488,8403,1989,0,0,41235,114590,67506,47084,26925,27840,7336,17788
1994,Manufacturing,95421,49984,5806,0,32312,0,22073,0,49218,39314,8037,13119,0,0,46204,132313,80023,52290,29206,23677,6225,15147
1995,Manufacturing,128326,74696,1425,0,52409,0,37321,0,74764,56462,6007,28828,0,0,53562,134265,82587,51677,26932,11334,2892,7372
1996,Manufacturing,133858,71204,3310,0,47365,0,45869,0,66548,51121,8977,24553,0,0,67310,140078,84561,55516,31012,20402,4835,13775
1997,Manufacturing,169889,91127,850,0,61114,0,62205,0,89834,72243,13118,28455,0,0,79567,161548,96892,64656,35356,29531,7886,18724
1998,Manufacturing,179336,102563,3968,0,65710,0,60160,0,92929,85933,8753,50771,0,0,86071,166548,102715,63834,29852,15437,3829,10190
1999,Manufacturing,196763,114818,7096,0,63066,0,62805,0,97865,56409,10923,9915,0,0,98897,175082,103941,71140,30927,19180,6619,10109
2000,Manufacturing,216659,115452,14367,0,64885,0,59216,0,103071,43127,25876,9825,56120,695,113588,204251,125258,78993,35570,32735,7290,17651
2001,Manufacturing,226786,134202,7630,53168,71120,0,63964,0,101700,58467,29062,17568,39170,0,125086,218130,131443,86687,36267,28630,8475,17016
2002,Manufacturing,202762,114244,5529,52542,54378,0,63189,5145,69279,32467,22823,0,32327,0,133484,198648,121230,77419,29970,26166,6890,16440
2003,Manufacturing,244364,148805,0,54480,87356,23490,67569,0,92976,68848,42473,0,23420,709,151388,216178,131562,84616,31084,31562,6643,22202
2004,Manufacturing,263962,160190,0,53347,102718,25600,74314,0,92574,74222,38050,0,17635,718,171387,216074,134458,81616,31592,39242,9035,26862
2005,Manufacturing,267552,178112,0,63007,99887,8879,77457,0,101125,94159,49323,0,7116,-149,166427,268104,172606,95498,36141,31605,8601,19751
2006,Manufacturing,310439,209323,1057,80808,124409,7110,86099,0,125795,119038,49305,63189,0,6757,184644,310764,193595,117168,48172,43340,13263,25140
2007,Manufacturing,289736,237833,2490,89572,143908,57,45934,5912,171510,170472,67134,91652,0,775,118226,350079,229464,120615,56581,52172,15724,30623
2008,Manufacturing,300473,238527,4241,119784,108688,53,55577,3657,174224,143692,91492,47394,29703,87,126249,461901,337275,124626,49081,35769,14183,16333
2009,Manufacturing,244112,171752,35184,56688,68372,167,63182,4733,103311,58060,45849,11231,42784,582,140800,284167,216193,67974,11213,6913,2157,3957
2010,Manufacturing,253804,168909,27197,55889,79136,160,74800,5789,97686,75935,37615,32406,18879,924,0,304395,205434,98960,39931,37322,10319,23180
2011,Manufacturing,307082,200849,13856,55861,119957,151,99521,2388,132962,99880,69913,24675,30240,895,174121,331311,223918,107393,36868,35176,11687,23489
2012,Manufacturing,508621,243074,35920,76004,119867,155801,105280,1881,238414,134658,93441,41218,100468,806,270206,437211,295419,141791,51133,49896,18032,31864
2013,Manufacturing,200826,95543,8041,35684,47598,0,45206,734,87892,53942,29049,24045,33951,0,112934,188382,121292,67090,28041,25997,7863,18135
