year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Manufacturing,2093968,524,0,0,0,2358681,0,0,174,174,174,0,0,0,2093794,0,0,0,-145,162206,279,161927
2004,Manufacturing,1687037,727,0,0,0,1929303,0,0,137,137,137,0,0,0,1686900,0,0,0,-755,155386,14,155372
2005,Manufacturing,1358255,96,0,0,0,1571241,0,0,21,21,21,0,0,0,1358234,0,0,0,-630,158681,1,158680
2006,Manufacturing,1509256,16,1,0,0,1509240,0,0,346,346,146,183,0,0,1508910,0,0,0,-739,136422,0,136422
2007,Manufacturing,1436246,1414,1300,0,0,1434832,0,0,735,735,735,0,0,0,1435511,0,0,0,-1053,115987,0,115987
2008,Manufacturing,1260957,1756,1740,0,0,1259201,0,0,109,109,109,0,0,0,1260848,0,0,0,-1035,63937,0,63937
2009,Manufacturing,1275284,1242,1224,0,0,1274042,0,0,195,195,194,0,0,0,1275089,0,0,0,-983,116720,0,116720
2010,Manufacturing,1218619,349,331,0,0,1218270,0,0,134,134,134,0,0,0,0,0,0,0,-1251,123403,0,123403
2011,Manufacturing,1083059,843,826,0,0,1082216,0,0,51,51,51,0,0,0,1083008,0,0,0,-970,126389,0,126389
2012,Manufacturing,1111201,1044,1026,0,0,1110157,0,0,47,47,47,0,0,0,1111154,0,0,0,-862,104385,0,104385
2013,Manufacturing,1094223,1155,1138,0,0,1093067,0,0,61,61,61,0,0,0,1094162,0,0,0,-736,184719,0,184719
