year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1994,Manufacturing,579914,157801,19618,0,74561,0,156839,0,358247,200034,49300,52964,0,0,221666,754447,518150,236296,93991,80215,23591,47887
1995,Manufacturing,859008,253101,44648,60026,125633,0,165796,0,408687,336911,121231,78664,0,0,450321,833670,582806,250864,101925,143469,23342,111483
1996,Manufacturing,981853,293481,52561,0,89534,0,203315,0,471022,272139,44132,130592,0,0,510831,839767,626947,212820,73944,82295,15894,60515
1997,Manufacturing,1009590,230599,14633,82088,101058,0,267460,0,457144,231189,94773,115787,0,0,549521,849123,597299,251823,104424,116159,20986,87399
1998,Manufacturing,1233458,307105,21055,0,142225,0,367068,0,638122,304487,44025,65031,302396,0,595337,873879,637530,236348,91288,63737,11066,48572
1999,Manufacturing,1459740,351943,2466,144312,161377,0,532921,0,802333,352139,109866,148379,437670,0,657407,930489,712400,218090,77484,63032,10241,48998
2000,Manufacturing,1533551,409158,13724,144807,227772,0,552835,0,796213,338214,186585,113323,438662,19337,737338,1085644,821616,264028,103699,96238,16138,74121
2001,Manufacturing,1535585,421000,14923,169549,195205,0,548618,0,752905,365164,191565,109938,362875,0,782680,1184899,900091,284808,128270,88409,21593,58538
2002,Manufacturing,1584985,416816,8207,132182,169040,0,445448,0,713693,366050,166283,95886,297851,39606,871292,1188427,869471,318956,171984,152301,30717,108654
2003,Manufacturing,1637830,440142,0,177923,185600,720764,468185,0,693101,399704,199500,0,215088,78309,944729,1327834,992844,334990,151451,189810,32358,145987
2004,Manufacturing,1739769,505521,0,126820,263672,716638,513746,0,735059,444213,268678,0,183667,107179,1004711,1474623,1123432,351191,166767,205803,45777,143554
2005,Manufacturing,1832619,520332,0,135395,244291,691794,617773,0,783014,432156,212839,0,271586,79272,1049606,1614269,1269831,344438,147455,164061,29695,123597
2006,Manufacturing,1953148,650980,20014,175818,253650,682614,617334,0,802607,536268,246797,248770,179880,86458,1150542,1839233,1407942,431291,219569,186383,52024,114865
2007,Manufacturing,2095955,809034,20865,168827,334420,677196,608116,0,924701,525875,274725,213465,348552,50275,1171253,2079408,1573762,505646,252586,296708,63537,208750
2008,Manufacturing,1813685,1009967,18552,357319,387725,93640,577550,0,818108,519128,270127,219028,270630,28350,995577,2163536,1662766,500770,247319,403020,68082,309368
2009,Manufacturing,2209645,1112912,112849,400245,304213,86659,862842,0,906556,388173,249517,108279,419896,98487,1303089,2232585,1731866,500719,263066,287462,61165,202130
2010,Manufacturing,2264976,1130645,83627,407569,434106,89535,912089,0,947843,488779,362399,68191,364579,94484,0,2434331,1825968,608363,329379,346779,88516,225881
2011,Manufacturing,2272697,960642,89713,330861,424976,77985,1087440,5558,934744,517463,385479,126454,321785,95496,1337953,2570213,1993804,576409,297981,284084,88696,195388
2012,Manufacturing,2503430,1079300,62255,357694,582991,79999,1197725,5623,1065653,648391,493701,134048,319712,97550,1437777,2883422,2169264,714157,366514,359837,111609,248228
2013,Manufacturing,2590251,1212563,83615,185494,621641,0,1249870,7763,1123056,707490,602956,101773,319745,95822,1467195,3071931,2268192,803739,423892,372926,119069,253857
