year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,102857,69112,10925,22704,22039,0,33323,0,54878,42578,7564,12211,0,0,47979,186615,145985,40630,21068,20243,683,19443
1993,Manufacturing,141197,101469,25196,34208,30343,0,39302,0,65891,49070,28824,0,0,0,72377,271160,204054,67106,45462,46511,12600,29245
1994,Manufacturing,143828,103550,24763,0,29219,0,38461,0,51952,37766,19827,0,0,2449,91876,274112,204796,69316,43368,45791,12277,28967
1995,Manufacturing,149118,106367,11334,39475,43821,0,41245,0,50258,40519,16680,0,0,0,98860,276279,220642,55637,30913,34847,8951,22581
1996,Manufacturing,168852,128230,18969,49044,43102,0,40087,0,41262,34976,18139,0,0,0,127590,270769,202608,68161,41979,46478,12851,28869
1997,Manufacturing,194055,148782,20194,60655,42074,0,43120,0,34353,28713,22623,0,0,0,159701,312644,232419,80224,49482,54527,5711,33396
1998,Manufacturing,237352,180950,20453,79785,56591,0,53648,0,46786,46444,30799,0,0,0,190566,320699,235632,85067,53116,64353,18271,39301
1999,Manufacturing,262607,194569,32827,100128,40807,0,63175,0,54836,54836,54836,0,0,0,207771,290052,208615,81437,42926,48893,14434,29113
2000,Manufacturing,253990,184997,13201,88879,42081,0,64509,0,34738,33169,32199,0,969,600,219252,298709,226940,71769,31756,38558,11073,23385
2001,Manufacturing,292924,210734,31783,83468,36820,0,72040,0,73649,73649,73649,0,0,0,219275,325028,254299,70728,34708,38064,9430,25136
2002,Manufacturing,303325,219939,33444,79209,38034,0,65952,0,77758,77758,77757,0,0,0,225568,316435,241456,74978,38387,41065,11353,25153
2003,Manufacturing,296753,213283,0,66314,38952,0,63538,0,59889,59889,59890,0,0,0,236864,293406,235386,58020,23821,20200,6597,10984
2004,Manufacturing,269658,195354,0,60949,36030,0,65252,0,50756,50756,50259,0,0,0,218902,331470,269456,62014,22320,6943,5887,-1123
2005,Manufacturing,288744,213420,0,45960,41458,0,63483,0,74086,74086,74086,0,0,0,214658,344730,274758,69972,33900,35484,11729,19414
2006,Manufacturing,304421,229679,25269,39514,41366,0,61053,0,91131,91131,91132,0,0,0,213290,409518,323471,86047,43049,34064,12831,16736
2007,Manufacturing,322010,258311,28796,28842,47371,0,58528,0,94568,94568,73492,0,0,0,227442,424819,318466,106353,65143,62835,18799,37136
2008,Manufacturing,312820,173206,41309,21764,44401,0,52224,0,78817,78817,70545,0,0,0,234002,409804,317616,92187,52053,56567,14503,36692
2009,Manufacturing,347917,203796,55626,12629,24505,0,49542,0,80675,80675,65514,0,0,0,267243,388515,277974,110541,73486,74782,20483,46712
2010,Manufacturing,386360,245423,71018,4750,27833,0,56439,0,96121,96121,71586,0,0,0,0,426161,323441,102721,62510,65745,18111,40927
2011,Manufacturing,377349,148935,43929,7514,39780,0,68234,0,83639,83639,65992,0,0,0,293710,456504,367114,89390,45228,46767,14437,32330
2012,Manufacturing,520611,334667,62800,6262,42087,0,173704,11864,123375,93357,78853,0,0,30018,397236,468476,368517,99959,53286,53296,18226,35070
2013,Manufacturing,554096,342011,45680,9857,59349,0,201820,10265,125899,95664,80890,0,0,30235,428197,458654,342373,116281,59681,68896,21999,46897
