year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,338235,51630,3099,0,42124,0,1049,0,222809,40022,33182,3072,0,0,115427,89791,29821,59970,48510,14929,1232,13697
1997,Manufacturing,395644,80123,597,3383,71476,0,1498,0,224376,46774,3072,3837,170749,5875,171269,50267,0,50267,44477,16751,0,16751
1998,Manufacturing,492891,85430,1393,0,64213,0,2001,0,268199,55182,5705,7206,0,0,224691,50563,0,50563,43337,2726,0,2726
1999,Manufacturing,395078,43500,132,0,28617,0,406,0,175664,50654,4827,5882,117974,3851,219414,37380,0,37380,27794,2658,0,2658
2000,Manufacturing,416424,66083,820,0,28803,0,275,0,163801,8362,3490,33,129068,25797,252622,24036,3241,20795,19288,-6530,0,-6530
2001,Manufacturing,301182,38050,240,434,25141,0,265,0,50948,3211,848,0,22152,25586,250234,9037,0,9037,7655,5935,0,5935
2002,Manufacturing,226710,38694,36,440,25151,0,256,0,51297,3568,828,11,22155,25574,175414,1915,0,1915,644,-9403,0,-9403
2003,Manufacturing,193333,27495,0,326,25146,165493,247,0,40993,4675,2542,0,17035,19266,152339,1404,0,1404,1158,-3969,0,-3969
2004,Manufacturing,192102,25697,0,14,24451,165907,236,0,35458,3498,3424,0,11379,20581,156645,1539,0,1539,1262,3615,0,3615
2005,Manufacturing,159605,23895,0,85,23603,135309,218,0,29975,4420,4384,0,9491,16064,129630,1126,0,1126,779,1509,0,1509
2006,Manufacturing,136923,2108,1756,102,0,134287,207,0,27062,6004,6004,0,2811,18247,109861,4916,0,4916,4573,5241,0,5241
2007,Manufacturing,134550,2443,1067,1172,0,127822,200,0,23036,1624,1624,0,0,21412,111514,11905,0,11905,11818,10090,286,9804
2008,Manufacturing,92720,2675,474,1006,0,88018,224,0,8056,779,779,0,0,7278,84663,4077,0,4077,3091,999,68,932
2009,Manufacturing,121798,3184,178,60,0,118388,226,0,8079,2291,2291,0,0,5788,113719,6,0,6,-2571,19206,0,19206
2010,Manufacturing,153992,12843,1390,101,0,140135,212,0,5760,1928,1928,0,0,3832,0,33770,22152,11617,9190,30288,0,30288
2011,Manufacturing,153683,7986,2012,0,0,0,185,0,4382,2030,777,1253,2352,0,149301,0,0,0,-2506,20240,266,19974
2012,Manufacturing,166445,67823,876,34,0,91656,45,0,15258,14150,12708,1441,972,0,151187,68898,25514,43385,41226,41191,6744,34447
2013,Manufacturing,216281,14813,13248,0,0,146,50,0,7823,7823,7823,0,0,0,208458,7589,0,7589,6222,12265,1747,10518
