year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,796135,180466,3426,0,15987,0,592223,0,234964,98888,21217,0,0,0,556909,279486,309809,-30324,-30324,-9205,0,-9205
1997,Manufacturing,780544,152952,9414,0,23978,0,617527,0,199699,77846,15017,25119,0,0,577038,273502,262517,10985,-23198,9711,0,9711
1998,Manufacturing,906550,119792,10073,0,16692,0,781261,0,128856,71421,12375,4232,28528,25367,777693,239243,229511,9732,-30650,-50267,0,-50267
1999,Manufacturing,878122,60354,7240,24262,19540,0,758539,0,127946,85056,53729,25250,0,0,750176,268063,233920,34143,-16904,330,0,330
2000,Manufacturing,892865,88019,4903,0,19538,0,753111,0,116117,79782,19080,12651,0,0,776748,326260,256097,70163,23600,27666,0,27666
2001,Manufacturing,879706,76072,4563,43373,18952,0,759176,0,90901,58236,48178,766,32664,0,788805,331146,267830,63316,8374,15568,2480,13088
2002,Manufacturing,868027,77901,3036,50528,10124,0,762118,0,107279,69463,57083,4395,37816,0,760749,323539,267168,56371,16689,13172,6217,5743
2003,Manufacturing,882219,82174,0,44837,10755,1100,783057,0,108572,72417,68305,0,34755,405,773648,329412,261592,67820,19298,22452,9303,11337
2004,Manufacturing,915197,84255,0,44141,14032,1882,809785,0,113196,75274,73908,0,37028,0,802001,332879,267264,65615,19163,36564,10964,23676
2005,Manufacturing,922743,88450,0,50089,10270,1935,817634,0,125772,87288,79017,0,34048,0,796970,348804,275901,72903,27280,35189,10363,23008
2006,Manufacturing,944425,95036,7601,49554,15458,5037,822961,3227,146394,112404,75773,36631,0,33032,798031,367281,286077,81204,35158,42963,12747,27916
2007,Manufacturing,932809,104769,15516,51422,13627,8962,801488,2167,165263,130797,105967,24830,0,33424,767546,373093,282757,90336,60785,58597,16735,38926
2008,Manufacturing,975640,88940,8830,60890,8448,3909,873259,2742,144948,104239,89893,9875,29671,0,830692,385533,288568,96965,54891,53918,16180,34900
2009,Manufacturing,1222046,97849,12563,57986,12061,6824,1105913,2716,265061,153035,115354,31630,28005,39689,956984,449338,337219,112119,62268,66253,20214,42492
2010,Manufacturing,1269269,100474,7932,55884,14699,11247,1145745,2906,318958,160925,86738,64765,44018,35715,0,449245,344406,104839,58324,58324,17863,37327
2011,Manufacturing,1236820,105564,14744,64136,10153,0,1112258,0,330310,176980,104775,60583,25080,42191,906511,475366,357401,117965,57023,56885,18297,38588
2012,Manufacturing,1280788,120886,7329,72713,8030,10296,1140882,3421,336905,162172,112122,40439,0,73267,943883,537421,407775,129646,63890,63039,21692,41346
2013,Manufacturing,1329216,159894,21387,87539,9790,0,1165190,3910,389213,241515,169939,57953,9543,45304,940003,608489,503849,104640,59776,57199,17209,39990
