year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,44591,24616,1246,0,15676,0,19816,0,17550,14819,6157,7537,0,0,27041,46132,32534,13598,3701,1759,489,1166
1997,Manufacturing,48819,30305,2112,0,14766,0,18356,0,15633,13988,5846,5929,0,0,33187,64367,40561,23806,10726,9774,2574,6169
1998,Manufacturing,50989,30682,715,0,18779,0,20038,0,13720,12512,5335,6872,0,0,37269,54577,33081,21497,6728,6670,1627,4378
1999,Manufacturing,47795,28713,2075,9375,16533,0,18794,0,8908,7647,1721,2052,1261,0,38887,44479,28105,16373,4056,2949,945,1622
2000,Manufacturing,49665,32308,718,0,20285,0,17254,0,10346,10346,4214,3013,0,0,39320,43056,29022,14034,2356,1338,655,441
2001,Manufacturing,52644,34309,1312,7623,23272,0,17961,0,14446,11522,7623,2290,1483,0,38197,50435,35539,14896,1490,612,186,343
2002,Manufacturing,50279,32211,782,9153,19541,0,17469,599,11465,8736,4010,1374,1403,0,38815,46971,31499,15472,1859,1006,216,701
2003,Manufacturing,57239,36408,0,13013,20721,0,19956,0,17947,15874,6825,0,772,1301,39291,53141,36075,17065,1826,1080,310,643
2004,Manufacturing,57473,37224,0,12941,19731,15,19457,0,18389,15458,7343,0,1672,1258,39085,64615,45526,19089,2330,1150,231,657
2005,Manufacturing,63117,42378,0,12321,23763,0,20701,38,23853,21456,10185,0,1565,832,39264,70287,47930,22357,3791,2595,844,1439
2006,Manufacturing,68104,46284,1960,14622,23921,0,21686,135,26694,23891,12298,11593,1962,842,41410,81402,56968,24435,4897,4235,1144,2667
2007,Manufacturing,83132,57957,1855,18883,32584,0,25175,0,38255,34538,31746,2582,2894,822,44877,109463,77439,32024,10723,9290,2553,5791
2008,Manufacturing,138731,88708,3367,23379,40288,0,49796,227,78165,65417,38959,26426,12317,430,60567,113129,79534,33595,9633,7342,1924,4705
2009,Manufacturing,120147,61407,2426,14199,40274,0,54370,0,48399,30742,15739,13293,16860,798,71747,120083,86438,33645,15005,12326,3191,7954
2010,Manufacturing,124996,66033,2587,23592,34218,0,56260,0,49276,36138,11749,20550,12170,968,0,124772,88860,35912,12477,11157,2952,7112
2011,Manufacturing,165881,74355,1252,25287,38876,0,90210,271,69687,44284,19593,23533,10188,15215,96194,119270,84182,35089,11942,10751,3086,7665
2012,Manufacturing,170844,73643,2065,21312,43405,0,96165,202,64760,37328,13892,23437,11884,15548,106084,143166,103657,39508,11410,10580,3173,7406
2013,Manufacturing,169123,75476,1537,24443,44583,0,92411,456,56121,32573,13790,18783,8767,14781,113001,134012,90989,43023,16294,11857,3307,8550
