year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,63390,34711,5402,0,14962,0,22310,0,25655,13858,2729,8158,0,0,37735,92275,71842,20432,86,3253,949,1872
1993,Manufacturing,87664,41016,1855,0,24581,0,34860,0,24056,19277,13463,3305,0,0,63609,94512,63068,31444,15212,22309,4825,15696
1994,Manufacturing,128146,45117,1201,0,25464,0,67793,0,57600,24080,6877,7065,0,0,81680,109642,76570,33071,14478,17405,4638,11050
1995,Manufacturing,256006,96172,5372,0,69519,0,140672,0,80694,55447,11547,29312,0,0,175312,209974,167596,42379,16392,10056,4043,5430
1996,Manufacturing,252728,93025,2182,0,51738,0,142123,0,77059,41259,7017,32109,0,0,175668,225557,192902,32655,11185,4879,0,4879
1997,Manufacturing,248152,86042,3893,20806,48736,0,147924,0,67865,60690,3324,49048,0,0,180288,189754,162486,27269,7041,1587,0,1587
1998,Manufacturing,227005,77847,2612,29567,41189,0,138094,0,62637,49922,10998,35342,0,0,161164,177398,152987,24411,-522,-5761,1273,-7034
1999,Manufacturing,215604,74281,1732,0,40372,0,131565,0,50521,27124,3052,11356,0,0,165084,224226,196377,27848,9562,5057,-110,5418
2000,Manufacturing,211381,74471,3095,24492,42670,0,127885,467,44025,11965,11965,0,25700,0,167356,223677,186025,37651,17657,15440,5388,8477
2001,Manufacturing,205760,76565,2316,28709,40168,0,119618,477,50423,22767,15078,7689,11301,0,155337,223485,188134,35352,15904,14784,3375,8702
2002,Manufacturing,771140,349996,0,170901,152671,25567,393607,777,226034,121155,72777,0,48387,56492,545105,931413,821003,110410,47736,39919,10987,24413
2003,Manufacturing,884097,496392,0,151384,224620,25821,357022,1679,357080,215647,145979,0,90389,51045,527017,1407667,1229760,177907,113745,99508,28896,59914
2004,Manufacturing,951271,574968,0,205062,316054,26065,345827,4412,373119,229554,110448,0,99823,43741,578152,1749791,1480621,269171,194860,170836,44606,109710
2005,Manufacturing,1034865,691299,19921,313866,324543,23914,316695,2956,448050,244468,67026,142225,167137,36444,586815,2862301,2466251,396050,323788,290912,78143,183827
2006,Manufacturing,358223,254496,3513,78132,146765,6206,90727,2583,162773,106171,35114,71058,43294,13308,195450,877246,769698,107548,85164,75200,19414,48598
2007,Manufacturing,420998,314379,121754,72959,112015,5579,99217,1824,101793,71941,65921,6020,20225,9628,319205,922284,804216,118068,83126,66871,22469,36082
2008,Manufacturing,342973,221012,45575,69840,75828,5725,114837,1400,81964,69063,64829,4235,2196,10704,261009,567783,451004,116779,82879,81209,17411,57348
2009,Manufacturing,317694,214000,15996,85555,92347,5268,97563,863,104841,95591,73710,21882,656,8593,0,700323,607477,92846,54014,54022,13701,35246
2010,Manufacturing,312079,191876,8462,81908,76482,0,109707,353,63134,57673,42764,606,0,5461,248946,891515,775463,116051,67587,67487,19011,48476
2011,Manufacturing,292533,182897,33894,55576,77969,0,102561,152,40817,38330,30206,29,0,2488,251716,708150,606776,101375,56490,56341,14895,41446
2012,Manufacturing,377540,261793,75660,73526,87296,0,108967,133,91656,86965,69281,6,0,4691,285884,825179,704740,120438,67399,66953,26306,40646
