year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,137401,50186,985,0,34265,0,79415,0,67323,37681,19073,9019,0,0,70078,99971,81725,18246,6540,3805,2112,1693
1996,Manufacturing,126889,40972,955,0,25172,0,77305,0,58235,27869,3098,1851,0,0,68655,97799,82393,15407,4769,468,1874,-1406
1997,Manufacturing,129677,43838,1015,6322,30555,0,77008,0,61522,41481,2219,5649,0,0,68155,93730,77319,16411,5650,159,0,159
1998,Manufacturing,128445,43981,2454,9247,26403,0,74667,0,57751,27407,2636,2100,0,0,69500,93255,74665,18590,7310,1732,782,950
1999,Manufacturing,127443,39602,2633,0,23570,0,77832,0,52363,38377,5051,8945,12792,1194,75080,95444,73511,21934,8854,7363,2407,4065
2000,Manufacturing,132404,47876,1992,7572,33502,0,73981,0,63009,51782,12340,19481,7931,193,69395,95608,79784,15824,2940,-1364,1749,-1504
2001,Manufacturing,126246,39391,1710,8966,22813,0,76420,1013,64537,32507,12308,9557,29671,0,61710,95141,81510,13632,3458,-4474,58,-3590
2002,Manufacturing,130309,50844,3857,11608,31282,0,68874,772,63702,45654,22314,12714,15666,0,66607,107848,83334,24514,13460,8726,2670,5649
2003,Manufacturing,125888,51905,0,18006,26471,9817,63678,488,52522,46911,18357,0,2503,3108,73366,110279,83882,26398,15004,12642,3739,7464
2004,Manufacturing,114136,57482,0,18743,32136,70,56406,178,25129,22166,18023,0,0,2963,89008,104409,87076,17333,7927,6253,2754,2478
2005,Manufacturing,122289,80679,0,28214,35405,39,41570,0,30754,30267,27168,0,0,487,91534,116595,96956,19639,9453,9210,2626,5612
2006,Manufacturing,118373,78124,16756,23679,30086,189,37915,198,28174,28174,21135,0,0,0,90199,129119,112705,16414,6634,170,322,-271
2007,Manufacturing,119827,77021,15000,18767,39504,256,41227,293,27208,24341,23172,0,0,0,92619,138731,119591,19140,12451,12469,3695,7405
2008,Manufacturing,121530,85059,5450,20385,48468,169,35045,184,30428,28314,26356,0,0,0,91102,130129,110747,19381,12480,10273,3139,5971
2009,Manufacturing,124074,88892,26676,20468,26712,0,33617,81,23334,21273,20894,0,0,0,100740,125524,109951,15573,7522,7671,2001,4928
2010,Manufacturing,138466,107031,32369,20333,39479,0,30442,27,32828,30873,27306,0,0,0,0,134527,113030,21497,13953,14193,4615,9577
2011,Manufacturing,98230,67844,2454,32516,31437,0,30386,0,33388,30740,30740,0,0,2648,64842,140325,119969,20355,10697,11155,1859,9297
2012,Manufacturing,111748,71874,3359,36530,31186,0,36587,0,69855,38856,33416,5440,20966,10033,41893,147917,123457,24460,13302,14442,4570,9873
2013,Manufacturing,169860,68635,2019,34788,30875,0,97684,304,81539,37032,31207,5824,16969,27538,88321,139353,114466,24887,13221,7821,2550,5271
