year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Banking,2122864,614501,0,0,NA,30714,182312,0,1913165,1533403,0,0,0,0,209699,506378,NA,NA,362418,14281,17715,10772
1993,Banking,2415271,600887,0,0,NA,18510,210004,0,2201520,1865327,0,0,0,0,213752,441552,NA,NA,301789,3670,19415,4018
1994,Banking,3234364,700129,0,0,NA,67011,197875,0,2919017,2444376,0,0,0,0,315347,469888,NA,NA,332718,7903,23334,948
1995,Banking,4067000,775034,0,0,NA,97764,200514,0,3665099,2752646,0,0,0,0,401901,724202,NA,NA,434018,130290,33045,86639
1996,Banking,5113439,1120895,0,0,NA,35277,205943,0,4646808,3448174,0,0,0,0,466630,671348,NA,NA,150641,150641,42407,108234
1997,Banking,6357230,1222948,0,0,NA,307437,231299,0,5813529,3834969,0,0,0,0,543701,516695,NA,NA,753686,140975,28313,112662
1998,Banking,7215589,1533661,0,0,NA,366951,241551,0,6633791,4213728,0,0,0,0,581798,883291,NA,NA,101294,101294,30668,70625
1999,Banking,7363847,1572975,0,0,NA,372073,260547,0,6796886,4240761,0,0,0,0,566961,886730,NA,NA,638543,14852,0,14852
2000,Banking,6235857,791907,0,0,NA,37530,227961,0,5679207,3904793,0,0,0,0,556650,782681,NA,NA,335667,6447,0,4574
2001,Banking,7216641,1092699,266789,84781,NA,1342930,437021,0,6716571,5387410,48273,259443,535593,0,500071,763189,NA,NA,98806,84031,0,15343
2002,Banking,7049835,1514159,283806,124626,NA,775943,401672,0,6522525,5238054,50639,370389,358262,0,527309,711626,NA,NA,79152,48164,0,48164
2003,Banking,7270086,1748464,293084,107847,NA,467856,447183,57949,6704178,5554152,52526,184548,283589,0,565908,609576,NA,NA,81235,86540,38142,69912
2004,Banking,7409684,1581564,339923,59088,NA,492865,505213,39474,6786207,5633235,78510,133841,339867,0,623477,661043,NA,NA,86685,109833,20985,84143
2005,Banking,7737976,1626991,326884,43359,NA,354503,480295,36375,7044812,5682976,84402,75498,422989,0,693164,746225,NA,NA,161800,199073,55880,139703
2006,Banking,8977132,1614941,447953,32152,NA,1454330,472724,0,8163554,7013384,69579,25411,349712,349712,813578,956321,NA,NA,293934,288311,78893,195755
2007,Banking,11492290,1923598,567770,44344,NA,1850750,485627,0,10545877,8363085,111681,1132313,416103,416102,946413,1161997,NA,NA,329092,386137,104940,261637
2008,Banking,15389056,2902841,804042,150301,NA,1818887,546914,0,14399343,10174324,374980,1951187,977481,977481,989714,1518016,NA,NA,331922,383140,82978,285641
2009,Banking,17982525,3590713,1077862,79143,NA,2399655,591850,0,16400470,12767259,278844,613677,1567446,1567446,1582056,2003186,NA,NA,609427,661924,156621,477825
2010,Banking,20574404,4850674,945756,174237,NA,1841887,501999,82896,18800447,12681101,255253,1585869,1544222,1544222,1773957,2101895,NA,NA,702999,0,201261,529456
2011,Banking,20027383,2448371,1012953,232068,NA,2472514,434926,95746,18068929,13094363,301178,429831,1839658,1839658,1958455,2098682,NA,NA,667047,756205,214476,541729
2012,Banking,24183818,5496063,1372514,309815,NA,1565807,450224,113526,21744513,14912789,330550,1570672,1686601,1686601,2439304,2345257,NA,NA,702106,781371,195330,586041
2013,Banking,30041066,6959142,1527120,282151,NA,16604,447089,113200,27358870,20313181,346994,0,0,0,2682196,2401862,NA,NA,852936,0,234173,654547
2014,Banking,32613641,6049858,1467820,395052,NA,17442,432394,111897,29528262,20885116,490579,0,0,0,3085380,2801761,NA,NA,970893,0,275159,706489
