year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,98633,5495,687,0,1875,0,80798,0,43304,16681,3982,1034,0,0,55329,18903,4283,14620,3151,915,579,291
1996,Manufacturing,108500,6532,1553,0,2293,0,88874,0,42080,15875,2568,2267,0,0,64190,24569,4535,20034,3535,-2201,718,-2919
1997,Manufacturing,106835,6092,733,1034,2383,0,88245,0,47272,12363,2150,595,11554,22352,59563,22949,3815,19134,892,-4597,0,-4597
1998,Manufacturing,101139,7023,990,0,2006,0,86337,0,37785,21182,2202,3042,0,0,63354,21605,3413,18193,-2668,-12257,0,-12257
1999,Manufacturing,89754,4462,690,0,1934,0,83752,0,38109,22776,3333,0,0,0,51645,20750,3016,17733,737,-11716,0,-11716
2000,Manufacturing,47053,11145,3133,730,1350,0,34425,0,17382,7923,3890,0,0,0,29672,20293,2885,17408,2851,-21962,0,-21962
2001,Manufacturing,40185,4951,1472,612,411,0,34179,0,11447,2826,1676,0,8621,0,28738,11069,1786,9283,1423,-53,0,-788
2002,Manufacturing,39536,4719,422,770,405,0,33822,0,10072,2859,1382,0,7213,0,29465,12073,1909,10165,1941,973,0,949
2003,Manufacturing,39338,4828,0,1067,512,996,33515,0,8123,3018,1130,0,5106,0,31215,13289,2230,11059,2688,1930,0,1930
2004,Manufacturing,38502,3350,0,784,487,995,33506,0,6176,3240,1535,0,2936,0,32326,13042,2220,10822,2035,1682,409,1200
2005,Manufacturing,38173,2692,0,659,455,961,33951,0,5513,3707,2221,0,1731,74,32661,13500,2396,11104,2633,2029,511,1428
2006,Manufacturing,38364,2726,636,718,477,948,34179,88,5994,4354,4354,0,0,1640,32370,14359,2628,11731,3136,2931,877,1900
2007,Manufacturing,39720,3300,1934,550,513,895,35468,57,8361,4021,2764,1257,3951,388,31360,15332,2829,12503,3888,3358,919,2279
2008,Manufacturing,37917,3581,1319,724,671,823,33459,55,8205,4494,3191,1303,3106,605,29712,16932,3170,13763,3940,3331,975,2185
2009,Manufacturing,39892,3527,702,600,591,867,35472,26,7501,4765,3436,1330,1724,1012,32391,17810,3457,14354,2492,2373,674,1580
2010,Manufacturing,39540,3729,882,714,597,829,34965,18,7774,3927,2772,1156,2521,1326,0,14825,2923,11901,1356,1146,345,741
2011,Manufacturing,37256,4507,687,710,520,780,31966,3,6591,3998,3135,0,1419,1174,30665,15289,2874,12414,2014,1910,399,1511
2012,Manufacturing,41102,5647,1360,821,590,988,33410,0,7280,4802,4107,0,898,1580,33822,17857,3368,14490,2929,2927,1103,1824
2013,Manufacturing,42605,5693,1425,1013,761,1040,34776,0,8682,5305,4507,798,1858,1518,33923,17761,3246,14515,2341,2029,602,1427
