year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,347184,232834,10105,0,65976,0,57487,0,244364,226295,84768,25247,0,0,102820,328910,212988,115922,33156,6771,5187,1583
1993,Manufacturing,258544,162296,9343,0,51849,0,44562,0,124772,105258,47657,1861,0,0,133772,234703,157380,77323,13663,4977,2631,2346
1994,Manufacturing,420926,289115,6405,0,107218,0,52506,0,274846,195238,53744,3079,0,0,146080,377454,271468,105986,29556,23239,7832,15408
1995,Manufacturing,527462,393029,23219,0,142769,0,68748,0,360287,263002,98708,2624,0,0,167176,500306,351002,149304,36922,41855,9723,32132
1996,Manufacturing,732230,514356,21565,181653,175372,0,117507,0,551120,353289,230310,3916,0,0,181111,572734,426471,146264,19351,38529,12941,25587
1997,Manufacturing,1111556,697038,28836,212792,321257,0,279698,13763,790170,493161,303668,1693,0,0,313237,797280,588749,208531,30923,49669,8834,40836
1998,Manufacturing,1209793,858664,29291,0,457886,0,227059,0,871384,691783,214445,216040,0,0,325043,899786,660153,239633,26969,19266,302,18964
1999,Manufacturing,1119655,714256,23543,0,321360,0,260272,8680,786682,492441,36067,148958,0,0,325136,963383,706488,256895,63128,-14942,-200,-14742
2000,Manufacturing,1274536,801428,45896,259340,373257,0,351166,6326,950862,586697,31064,244544,351689,5988,323673,832349,592847,239503,64687,5755,2019,3275
2001,Manufacturing,1186726,631223,27746,141382,413342,0,322694,27074,873896,683740,201908,207372,173627,0,312829,863589,647610,215980,37230,-7911,107,-7978
2002,Manufacturing,1000578,486988,36706,100712,315011,0,296082,24304,673132,381534,305015,25942,283969,0,327447,811793,589908,221884,67713,37261,4807,14500
2003,Manufacturing,1022751,524040,0,93405,268230,136287,305118,587,671543,366420,304915,0,299007,0,351209,930597,706911,223686,58892,67729,19218,27202
2004,Manufacturing,953711,511493,0,139710,260727,119704,275951,820,579192,344296,223906,0,229811,0,374519,1056270,828665,227605,33162,55824,16167,35194
2005,Manufacturing,1036368,634746,0,279753,312322,117585,226768,548,648013,373293,206966,0,267730,0,388355,1194644,916140,278503,95342,60231,18048,37172
2006,Manufacturing,1223822,809247,42116,334444,407403,95662,265553,0,738096,551366,305793,169685,174261,0,485726,1551358,1193401,357957,162440,184033,50636,118720
2007,Manufacturing,1496108,945780,32369,274672,608178,151823,321260,1887,924353,627331,283388,324467,285387,0,571755,1901203,1507803,393400,140336,209786,49507,145928
2008,Manufacturing,1984129,1310812,69601,337730,867048,189409,404482,5020,1416221,916760,292119,612196,492872,0,567908,2017339,1568931,448408,199417,133609,37690,84994
2009,Manufacturing,1672434,955764,104359,318507,505831,218637,442172,5434,967214,480850,292223,162402,483236,0,705221,2060494,1630755,429738,151065,179244,52252,111846
2010,Manufacturing,1954969,1154539,45421,329586,722615,301131,432869,4639,1141727,784310,447848,317183,357417,0,0,2337842,1845310,492532,183872,210635,49149,147240
2011,Manufacturing,2392767,1486532,43049,448877,881564,894,540110,7176,1499131,1069372,619979,431258,429760,0,893636,2862248,2273547,588702,210112,260141,70596,189544
2012,Manufacturing,1745214,329286,15859,118025,12411,1116078,282978,0,459681,256592,175319,62697,156769,46320,1285533,0,0,0,8546,121346,3461,181099
2013,Manufacturing,2418024,243469,16645,12236,2951,0,350764,0,1053398,96756,70543,26214,891694,64948,1364626,178333,5908,172424,166485,105426,-7355,104291
