year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Banking,165215,23977,0,0,0,0,376,0,109717,2036,0,55412,25272,0,55498,24818,0,24818,2294,1470,0,1470
2003,Banking,81557,29781,0,0,0,0,117,0,26645,1095,5812,0,6726,0,54911,12567,0,12567,974,-115,0,-575
2004,Banking,46363,39639,0,0,0,0,51,0,4839,447,2888,0,0,0,41523,5343,0,5343,-897,-3458,392,-3850
2005,Banking,22069,18399,0,0,0,0,57,0,1872,39,1147,0,0,0,20197,2277,0,2277,1850,1850,0,5156
2006,Banking,62804,8200,0,26612,0,0,2469,0,37587,753,5960,30172,0,0,25217,12262,0,12262,-120,911,359,552
2007,Banking,80929,4931,0,61224,0,0,2306,0,55202,1118,5777,48302,0,0,25727,34453,0,34453,2124,3472,1158,2111
2008,Banking,206950,8234,0,2471,0,0,1901,0,180093,10170,9567,18047,57111,57111,26857,53775,0,53775,3350,5659,1860,3473
2009,Banking,261381,9830,0,5752,0,0,1781,0,228982,60168,7071,26305,45040,45040,32399,78638,0,78638,5386,6401,1973,4109
2010,Banking,374180,54916,402,5394,0,0,2471,0,337638,176686,11127,10137,110819,110820,36542,85464,0,85464,5989,0,2178,4497
2011,Banking,362087,58974,1024,17993,0,0,3377,0,320396,110760,5722,16741,111405,111404,41691,87064,0,87064,7315,4097,801,3296
2012,Banking,399981,109666,1657,13412,0,0,3174,0,347328,155322,33674,21120,93586,93587,52653,93793,0,93793,-3424,698,45,652
2013,Banking,376370,64988,1662,18108,0,0,3033,457,313513,136480,7576,0,0,0,62857,66448,0,66448,-4674,0,-635,-3045
2014,Banking,530133,97102,3539,6462,0,0,5360,159,458713,303379,9167,0,0,0,71421,61226,0,61226,-976,0,271,1099
