year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Insurance,112506,96443,17770,0,NA,11811,4252,0,83592,55758,0,225,0,0,28914,122337,NA,33299,1550,943,-314,-202
2004,Insurance,116262,70735,21361,0,NA,29139,10566,1677,86399,59103,0,0,0,0,29863,111464,NA,30741,-4899,-7453,-155,-5224
2005,Insurance,60532,10839,51,0,NA,49445,0,0,9460,9460,0,437,0,0,51072,59088,NA,18205,778,778,227,971
2006,Insurance,62481,7760,599,0,NA,48678,0,0,12721,12721,0,37,0,0,49760,0,NA,0,-678,-678,-111,-635
2007,Insurance,45796,40685,40,0,NA,0,0,0,4708,4708,0,0,0,0,41088,0,NA,1793,0,-5878,0,-5878
2008,Insurance,39014,34080,55,0,NA,0,0,0,4511,4511,0,0,0,0,34503,0,NA,0,0,-3294,0,-3294
2009,Insurance,38360,28790,23,0,NA,0,3,0,5205,5205,0,0,0,0,33155,0,NA,0,0,-2955,0,-2955
2010,Insurance,35681,26750,18,0,NA,0,2,0,5289,5289,0,0,0,0,30392,0,NA,0,0,-1312,0,-1312
2011,Insurance,32526,17978,20,0,NA,0,0,3936,2003,2003,0,0,0,0,30523,0,NA,0,0,1713,0,1713
2012,Insurance,27789,14953,3201,0,NA,6513,0,3975,2090,2090,0,0,0,0,25699,0,NA,0,0,826,0,826
2013,Insurance,25440,5062,410,0,NA,15227,0,3526,41,41,0,0,0,0,0,0,NA,0,0,-1753,0,-1753
