year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Banking,16298,2084,10,237,0,0,179,0,1563,33,127,576,145,0,14735,2730,0,2730,194,165,0,253
2003,Banking,15183,1276,473,267,0,0,149,87,440,35,9,141,0,0,14743,2960,0,2960,686,197,0,240
2004,Banking,14744,666,80,126,0,0,115,86,1092,38,6,848,0,0,13652,3276,0,3276,310,-869,0,-876
2005,Banking,18589,1460,17,385,0,0,109,92,4198,830,1592,1284,0,0,14391,4763,0,4763,1699,2050,792,1212
2006,Banking,29235,8499,27,456,0,0,78,0,15949,74,290,706,492,492,13286,3534,0,3534,135,241,78,163
2007,Banking,46585,7747,34,703,0,0,241,0,34271,46,296,896,529,529,12314,5010,0,5010,-402,-87,1,-88
2008,Banking,61701,2651,461,886,0,0,865,0,49784,52,939,5685,5343,5343,11918,7357,0,7357,761,952,361,591
2009,Banking,63242,3617,1453,1363,0,0,1243,0,46818,119,713,5986,4209,4209,16424,8158,0,8158,748,1033,390,643
2010,Banking,93028,1644,761,3274,0,0,1199,0,76510,271,7657,18959,10431,10431,16518,9047,0,9047,1154,1410,598,812
2011,Banking,133847,1721,619,4611,0,0,1381,0,115814,739,9763,21072,9959,9959,18033,12174,0,12174,1308,2222,1097,1126
2012,Banking,169921,4135,1108,4317,0,0,1541,0,142643,868,12461,24398,15095,15095,27278,16840,0,16840,3350,4015,1327,2688
2013,Banking,208378,5631,0,8476,0,0,1692,420,171803,128,10197,0,0,0,36575,20428,0,20428,4286,0,1508,3746
2014,Banking,198238,2374,0,7172,0,0,4565,407,157716,117,1796,0,0,0,40522,22724,0,22724,5347,0,1702,4476
