year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Manufacturing,3664,2732,19,1935,0,0,1,0,1224,1224,1224,0,0,0,2440,0,0,0,-2382,153,0,569
2003,Manufacturing,3007,2274,0,1215,0,0,1,0,1056,1056,1056,0,0,0,1951,0,0,0,-738,-288,0,-288
2004,Manufacturing,2911,2181,0,0,0,0,0,0,637,637,637,0,0,0,2274,0,0,0,-643,321,0,321
2005,Manufacturing,3560,2984,0,1810,106,0,48,528,1045,1045,1044,0,0,0,2516,3581,2068,1513,540,498,0,498
2006,Manufacturing,6546,5646,274,4221,167,0,378,521,2658,2658,2658,0,0,0,3888,17539,12144,5394,4173,1699,539,1160
2007,Manufacturing,3768,3207,2530,59,0,0,71,490,547,547,547,0,0,0,3222,2173,157,2016,300,155,82,74
2008,Manufacturing,4883,4295,3083,246,0,0,136,452,1311,1256,828,0,0,55,3572,3330,0,3330,1026,1198,370,828
2009,Manufacturing,3981,3444,2558,0,0,0,120,416,240,204,133,0,0,37,3740,3001,903,2099,560,329,129,200
2010,Manufacturing,6260,5444,1562,0,0,309,184,324,975,910,910,0,0,65,0,5238,0,3470,2681,2594,694,1901
2011,Manufacturing,7385,6712,3818,1350,0,291,148,233,3758,3758,2677,0,0,0,3627,11186,0,11186,6763,6306,1995,4311
2012,Manufacturing,4502,3235,617,44,0,298,801,167,1405,1405,1405,0,0,0,3096,3858,0,3858,286,-5,127,-133
2013,Manufacturing,5783,4598,1523,224,0,0,797,94,1545,1545,1545,0,0,0,4238,3853,0,3853,1277,1369,263,1106
2014,Manufacturing,3989,1897,1169,98,0,0,715,93,1664,1664,1664,0,0,0,2325,2963,0,2963,-869,-976,-158,-818
