year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,407138,116490,9151,0,80422,0,124227,0,84001,84001,29219,47490,0,0,323137,246185,108598,137587,89056,185495,27108,149769
1993,350084,107999,21258,0,52868,0,97560,0,47980,47980,38064,2194,0,0,302104,311746,154178,157567,116783,125161,39156,74655
1994,489218,247941,96630,0,55113,0,109497,0,48818,48818,43257,948,0,0,440401,421031,145598,275433,224784,215643,20663,176144
1995,814323,232614,81530,0,77414,0,225179,0,219811,114364,88794,8851,0,0,594512,493343,140170,353173,295184,288670,70726,192974
1996,895867,297712,94860,0,117326,0,255555,0,186008,107727,58190,630,0,0,709859,546751,175022,371729,278581,281937,76989,182563
1997,1003350,318493,156697,0,98417,0,254994,0,145526,95938,59509,4722,0,0,857824,625853,231875,393978,295042,300747,81822,195208
1998,1074887,324439,97694,0,125818,0,322530,0,148950,76576,41691,2740,0,0,925938,564178,204593,359585,250565,208103,24591,164584
1999,1315961,400123,177224,0,123693,0,383287,0,252204,204688,158962,0,0,0,1063757,689749,240837,448912,334220,375095,94826,252783
2000,1397881,435437,169433,0,141403,0,379857,18308,164393,137420,98344,0,0,0,1233488,863692,281095,582598,458287,453723,124646,290957
2001,1342194,369488,45715,53623,140025,0,356459,0,71614,71614,71613,0,0,0,1270580,740763,287603,453160,344259,307071,97524,181279
2002,2034320,1297463,928106,40966,143636,0,346319,11960,200798,200798,200797,0,0,0,1833522,792334,329561,462773,354289,1105366,265485,754378
2003,2109793,1346827,0,46509,162695,417022,337256,8688,91446,91446,91446,0,0,0,2018347,829304,276435,552868,419606,471695,110266,325917
2004,2989174,2551713,0,123198,172296,97159,334982,5320,665485,665485,657343,0,0,0,2323690,1588636,438563,1150072,967031,1133237,315359,726470
2005,2799030,2254252,0,73860,181008,150817,393871,90,227340,227340,224967,0,0,0,2571690,1249453,292137,957317,807489,919207,248120,599169
2006,2545791,1911428,1519211,89610,202628,217441,392173,13876,189820,169490,34664,0,0,0,2355970,1370185,311836,1058349,902623,953078,232018,653809
2007,3331262,2570392,2135995,98326,200720,372037,365610,13355,364754,336947,140699,0,0,0,2966507,1913484,333847,1579637,1470097,1429874,368423,954662
2008,3858391,1728661,1379871,64996,236411,1688155,336627,12284,358258,331169,134569,0,0,0,3500133,2329114,376169,1952945,1565324,1562607,467529,959562
2009,4352962,1048526,663065,96168,248461,2836983,352429,16670,253258,223241,112355,0,0,0,4099704,1585235,340747,1244488,1176947,1200184,332826,770886
2010,4952098,1527977,1200474,88517,189108,2929354,389837,13762,418214,358425,184239,0,0,0,4533884,2269236,322059,1887154,1792342,1625954,467046,1023533
2011,5093899,2067039,1362164,81524,267578,0,510492,0,330046,245959,48713,0,18284,0,4763853,2259521,413081,1846440,1595308,1272155,476133,796022
2012,6199985,657102,239094,62571,285513,0,1002684,79113,958824,761365,139155,524332,6094,15309,5241161,1677287,515444,1161843,923270,952400,274931,677470
2013,7215463,1129181,563928,141909,338299,0,984873,97040,1036270,298771,183912,0,568501,19464,6179193,2136116,854444,1281672,1106459,1110384,434909,675475
