year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Manufacturing,150015,17532,12058,0,0,0,4118,0,130,130,130,0,0,0,149885,20131,9025,11107,4011,-21383,0,-21383
2003,Manufacturing,163388,22750,0,0,182,0,4764,28,330,330,330,0,0,0,163058,21351,11003,10348,3575,17599,0,17599
2004,Manufacturing,168162,25598,0,0,0,136409,6155,0,2796,387,387,0,2409,0,165365,6094,0,6094,2289,9266,0,9266
2005,Manufacturing,172698,29028,0,0,0,136757,6914,0,2849,1418,659,0,1431,0,169849,5086,0,5086,544,14563,286,14277
2006,Manufacturing,184610,30705,2255,0,0,147506,6398,0,1993,1398,679,719,595,0,182616,5773,0,5773,531,21229,0,21229
2007,Manufacturing,186781,27698,14654,0,0,153684,5398,0,1707,1707,1181,526,0,0,185074,3355,0,3355,-902,16587,217,16370
2008,Manufacturing,181483,36523,31278,0,0,136314,4564,0,712,712,712,0,0,0,180771,2885,0,2885,3670,23291,307,22983
2009,Manufacturing,227521,37355,25626,0,0,183557,4099,0,515,515,516,0,0,0,227006,2877,0,2877,418,22036,0,22036
2010,Manufacturing,222862,45094,16659,0,0,173074,3615,0,20200,6623,6404,0,0,13576,0,3035,0,3035,5770,26879,512,26367
2011,Manufacturing,322038,37534,9379,0,0,61220,3894,0,30696,21968,21969,0,0,8728,291342,3533,0,3533,-1196,35357,0,35357
2012,Manufacturing,649895,237391,2116,0,0,364509,1462,0,33103,27109,27109,0,0,5994,616792,29651,0,29651,139382,276859,6883,269976
2013,Manufacturing,585377,194074,36409,0,0,377486,1719,0,70189,9798,9798,0,0,60391,515188,15382,0,15382,11993,70693,15524,55169
