year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,82591,32509,1203,0,15615,0,45852,3909,66579,37745,10129,15958,0,0,16013,126076,87866,38210,6026,3764,0,3764
1993,Manufacturing,149415,35450,6141,4824,19880,0,110158,4906,78903,57304,9461,462,0,0,70334,83809,78973,4836,-26380,-29091,0,-29091
1994,Manufacturing,152260,48413,10428,9987,14827,0,100127,4901,76405,41972,3875,209,0,0,75855,92861,75876,16985,-10433,-20104,0,-20104
1995,Manufacturing,142703,54372,15700,0,16104,0,84781,0,65308,43968,4377,20626,0,0,77395,102815,90334,12481,-16650,-21448,0,-21448
1996,Manufacturing,150244,57924,18890,0,18678,0,79245,0,51346,40888,3496,16962,0,0,98898,150023,91051,58972,24292,21575,0,21575
1997,Manufacturing,153034,55151,6874,15184,26245,0,83310,0,40455,33059,7752,6399,0,0,112578,150438,101313,49125,18393,16684,2369,13727
1998,Manufacturing,153969,60739,16738,0,20770,0,75033,0,52792,43760,5761,24678,0,0,101177,145763,113229,32534,-7510,-12325,0,-12325
1999,Manufacturing,137402,57976,21028,0,13394,0,68717,0,37554,30511,7799,11534,0,0,99849,153431,118897,34534,608,-1087,198,-1342
2000,Manufacturing,122681,51807,14998,15289,14011,0,64526,5214,37061,20187,4806,4556,7285,9590,85620,132521,107185,25336,-6836,-5638,-1757,-3372
2001,Manufacturing,102649,40081,13644,8357,12140,0,54992,667,33170,20723,11717,4878,4869,0,69479,117098,105013,12085,-20346,-23944,-6096,-16082
2002,Manufacturing,94990,45909,12687,13885,10647,0,41035,401,42247,36734,18467,4806,5514,0,52743,46647,41530,5117,-10747,-8774,-6014,-17138
2003,Manufacturing,82772,44960,0,20109,8738,66,29192,0,33303,31044,16263,0,2259,0,49469,114960,96000,18960,-6140,-4188,-717,-3263
2004,Manufacturing,81723,49462,0,27206,8912,75,28496,0,21780,20816,14915,0,965,0,59943,124460,89621,34839,15578,15358,4341,9759
2005,Manufacturing,113044,81551,0,33390,12194,62,27287,4145,35859,35158,25908,0,147,554,77186,164169,102731,61438,34454,33270,10219,20089
2006,Manufacturing,86456,72079,45215,20602,4320,26,11907,1514,31495,26085,7068,0,0,703,54961,102182,39620,62562,54921,55245,15127,35733
2007,Manufacturing,267095,205953,140850,48747,12122,111,53049,4906,65575,44278,19962,0,0,1771,201520,330885,151483,179402,161604,159419,45209,101106
2008,Manufacturing,173874,112833,67644,18260,15423,73,51613,1875,52320,22938,26231,0,0,1329,121554,201450,151242,50208,38417,33702,9061,22014
2009,Manufacturing,183884,131970,87817,22242,10828,89,45464,0,57137,28465,21875,0,0,1164,126747,188431,133464,54966,35383,34972,10093,21953
2010,Manufacturing,241548,188373,102564,69029,10956,67,42176,0,87172,60419,26225,0,0,17,0,277541,167230,110310,84854,85267,24110,54167
2011,Manufacturing,209930,150121,105985,23429,14747,46,49787,0,71672,48030,33882,0,0,430,138258,297036,203078,93958,63803,62915,19036,43879
2012,Manufacturing,229261,124529,48907,46995,15979,34,104698,0,106787,58876,44793,0,0,5973,122473,270777,212307,58470,23668,24655,9199,15455
2013,Manufacturing,216843,101167,36995,29596,14561,37,112203,144,119907,81315,39219,22646,0,0,96936,258303,249762,8541,-42413,-43549,-8219,-35330
