year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Manufacturing,2059035,821890,0,100765,508380,0,1230722,0,1280333,1136477,454750,0,0,143856,778702,6661661,6413208,248454,41186,63695,32074,24453
2004,Manufacturing,2341640,1044056,0,127957,721591,0,1274986,0,1550185,1258879,570196,0,134786,156521,791455,7498099,7280237,217862,-4809,70006,60750,352
2005,Manufacturing,2500878,1329323,0,269216,818057,44,1142922,0,1394154,1012952,839046,0,195096,186106,1106723,8818131,8003174,814956,580990,503540,111225,341409
2006,Manufacturing,765672,418808,8882,65920,232778,28637,296636,0,475058,364884,152195,212544,60420,49754,290614,2765238,2630782,134456,52562,32070,3392,27420
2007,Manufacturing,1037943,553117,4202,86034,337579,90120,274870,0,681703,597769,69457,500773,35155,48779,356239,3490654,3242915,247739,165032,141118,37160,90194
2008,Manufacturing,892267,507247,11550,68287,172778,90038,259255,0,670009,573993,95216,478777,96015,0,222259,4383688,4375478,8210,-92239,-145761,-41711,-88600
2009,Manufacturing,894307,563821,5311,112587,309379,87652,236706,0,627601,346908,122406,224502,280297,396,266706,2758607,2573980,184628,91637,78561,20597,50336
2010,Manufacturing,967017,648071,4083,162134,352869,86361,228680,0,676966,261809,101477,142591,406408,8749,0,3498359,3330182,154444,53924,50033,10360,39673
2011,Manufacturing,1299762,815547,7417,162302,517492,83876,398117,0,805477,269880,94890,161574,483643,51832,494285,4521981,4283955,238026,137428,137138,35300,101838
2012,Manufacturing,1326897,851116,35468,217790,509691,82441,391561,434,833418,414940,294170,117815,373481,44870,493478,4788313,4665209,123104,27781,29287,-886,30173
2013,Manufacturing,1242937,738250,3518,221432,450966,0,422112,289,812964,429461,219215,206659,352577,30776,429973,4278235,4220644,57590,-41373,-61921,-12405,-49516
