year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1999,258054,51162,327,0,24945,0,166936,29,98175,52196,5969,6074,0,0,159880,37312,18769,18543,7585,-42,120,-162
2000,276300,66189,374,0,31958,0,177968,31,115826,62355,5036,3737,0,0,160473,50912,23935,26977,16145,6682,1002,5680
2001,383899,85077,188,97,39475,0,265606,32,153714,83522,57016,8880,70192,0,230185,68199,36606,31593,18007,13112,1298,7359
2002,374451,51746,3412,722,38116,0,291427,31,154587,63371,47138,40,91216,0,219864,54023,39739,14284,-358,-75,772,-848
2003,452410,59134,0,539,45576,137,310896,79,138533,60979,48817,0,75906,1648,313878,85772,57934,27838,6091,8165,1648,6517
2004,462259,64345,0,636,47884,1307,313992,79,155754,65600,46369,0,61776,18083,306505,131508,87034,44474,27052,42957,4802,22757
2005,448601,65815,0,826,42727,1262,285437,0,140020,72864,54459,0,41533,21304,308581,89916,64016,25900,8143,20701,3009,15462
2006,449993,61949,1469,19,42181,29143,255700,0,135576,37860,35392,1627,12211,67106,314417,116348,79003,37346,21227,16154,2171,12376
2007,567855,72386,872,1458,39351,31430,358086,0,156759,52925,45455,5082,43840,44076,411096,93212,62491,30721,19055,9055,1177,7006
2008,545295,80028,2106,2320,37541,33991,327478,0,179334,77826,55864,20362,33741,53445,365961,68362,54573,13789,5621,-8002,1243,-10165
2009,402641,50860,593,9628,2259,447,344802,0,221218,90304,69528,20777,27847,102432,181423,79843,65822,14021,-18951,-30662,-1557,-27941
2010,410045,66653,1362,13008,5099,425,333068,143,203192,60931,45692,9766,101531,37817,0,130557,68692,61865,55340,45840,7164,33371
2011,491609,81496,1999,13152,11149,0,334800,189,179324,58681,34988,18546,87016,33628,312285,165099,89406,75693,126874,118146,18008,100138
2012,496145,38256,5218,3111,24299,410,354168,852,184072,32031,22177,0,0,148785,312073,143213,88807,54406,15785,10690,2011,8680
2013,525026,41765,4365,5851,21478,404,382633,1240,221157,55277,46357,0,0,165881,303869,142584,107657,34927,19917,885,237,648
