year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1999,Manufacturing,120230,52508,16,0,1489,0,67721,0,41561,19826,2774,0,0,0,78669,72009,41722,30286,13947,10809,4481,5542
2000,Manufacturing,132630,59356,1910,0,3841,0,73274,0,42580,20722,718,0,0,0,90050,93956,64713,29243,13962,11397,0,11397
2001,Manufacturing,131731,60726,11038,0,3964,0,71005,0,30468,10234,3041,0,0,0,101262,106289,71824,34466,14445,16789,0,16789
2002,Manufacturing,104821,52608,0,4012,3307,0,52214,0,36729,27626,27626,0,474,8629,68092,98905,117249,-18344,-21647,-20130,-901,-19054
2003,Manufacturing,84152,38687,0,514,2165,0,45464,0,69447,62410,62410,0,419,6619,14704,110133,160212,-50079,-53993,-55238,-1697,-53210
2004,Manufacturing,111965,31513,0,23174,0,0,78366,0,61792,42300,42300,0,405,19088,50173,154636,137172,17464,12554,7899,0,7899
2005,Manufacturing,101495,32237,8256,10196,2525,0,69258,0,30132,24457,24457,0,0,5675,71363,176258,154939,21320,15901,15322,4736,9754
2006,Manufacturing,95665,32022,15500,113,2378,0,63634,9,23020,17315,14911,0,0,5705,72645,110291,93733,16558,13727,13916,4956,8091
2007,Manufacturing,96877,44405,13558,44,2444,0,52469,0,20698,13420,13421,0,0,6818,76179,167886,149212,18673,14260,14017,4171,9114
2008,Manufacturing,116962,67717,32548,23114,2275,0,49224,0,21404,13696,13696,0,0,7181,95558,104114,85058,19056,15092,15319,0,15319
2009,Manufacturing,109932,66501,51202,9358,872,0,41517,0,17273,7712,7711,0,0,9028,0,80408,53069,27339,9787,10136,4060,5555
2010,Manufacturing,109359,74335,64769,406,2685,0,35003,21,16721,7645,7646,0,0,0,92638,79937,50031,29906,10966,11730,4699,7031
2011,Manufacturing,134488,86370,65861,14669,1474,0,48096,22,30251,16355,16355,0,0,10808,104237,81669,51103,30566,9528,11143,4547,6596
2012,Manufacturing,148398,105758,91903,8406,1360,0,42619,21,37888,26607,26608,0,0,7977,110510,86551,65107,21444,17237,19237,5625,13612
