year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2001,Manufacturing,1905193,410296,115972,51658,204319,0,1377203,23544,872937,191513,164923,0,405399,0,1032255,613687,478824,134863,36058,-16010,-3266,-12744
2002,Manufacturing,1735837,278412,4497,62381,188031,0,1350351,22919,845659,158835,81534,2736,398821,0,890178,552671,456043,96628,41657,2950,-599,1520
2003,Manufacturing,1674806,270047,0,51408,175697,0,1327120,0,822829,177686,92205,0,340782,302191,851977,599198,541144,58053,11384,-14198,-2419,-12949
2004,Manufacturing,1699511,347125,0,83311,236289,0,1287842,0,800730,200206,127774,0,274776,298825,898781,842823,730317,112506,65181,48683,6284,34327
2005,Manufacturing,1617537,334771,0,68853,220518,0,1226363,0,761075,229064,146436,0,241884,284337,856463,922127,835301,86827,41939,-4187,1163,-7385
2006,Manufacturing,1323921,481380,39894,103116,303584,0,816060,0,674469,534868,460251,74230,0,137386,649452,1054509,867457,187052,123681,78056,19346,51554
2007,Manufacturing,1439205,673413,47154,136674,444237,0,765792,0,743867,228573,109753,100620,378750,136544,695338,1360558,1146376,214182,141555,142160,40249,87005
2008,Manufacturing,2293157,1564414,81109,137163,1210918,0,728743,0,1641311,1043830,160282,873329,506587,90895,651845,1790090,1402996,387094,173801,34168,10813,19350
2009,Manufacturing,1641265,812032,27337,121836,571214,0,828334,0,610301,254483,190846,63637,334877,20942,1030964,1288122,1402148,-114026,-202218,-192094,-51613,-121365
2010,Manufacturing,2145293,1187419,99971,155538,786152,0,957873,0,1084614,774220,339898,434321,265782,44612,0,1383012,1229932,153081,104349,99433,27256,72177
2011,Manufacturing,2139978,1181985,25016,173296,837985,0,954314,0,1083450,595528,130854,464674,416836,65829,1056528,1582631,1420880,161750,72813,87545,32715,54830
2012,Manufacturing,2108979,1042044,24934,207969,645511,0,991013,3389,1124826,499293,107042,392250,588764,34658,984153,1727461,1747674,-20213,-153683,-135795,-33853,-101942
2013,Manufacturing,2084730,1073435,73052,242764,611766,0,937222,2659,802611,417458,213056,204403,346457,38697,1282118,1758529,1586005,172524,68307,2165,4048,-1883
