year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2004,Manufacturing,360539,63681,0,32669,10160,88,296219,0,82490,26633,24227,0,55857,0,278049,190543,161033,29510,3664,2393,1649,475
2005,Manufacturing,355652,83428,0,34815,13130,86,271525,0,90107,30314,28330,0,59793,0,265545,207374,175416,31958,5891,4113,2512,1160
2006,Manufacturing,359853,85198,25636,31643,18185,111,274010,0,94437,29796,25921,0,0,64641,265416,221372,179970,41403,15151,9677,5178,3591
2007,Manufacturing,350417,102350,46113,29994,19084,176,247217,0,95139,30321,24688,0,0,64818,255277,213189,166990,46199,22284,21621,7491,12816
2008,Manufacturing,341494,117476,61044,33855,16416,162,222412,0,98125,34217,34217,0,0,63907,243370,215112,161101,54011,31328,31008,10569,18585
2009,Manufacturing,373643,125019,67239,33159,20316,122,246980,0,99830,44816,44816,0,0,55014,273813,259834,187695,72139,34880,34892,13827,18638
2010,Manufacturing,369346,108785,46088,34667,23977,112,260247,0,89873,82422,39820,42602,7451,0,0,264956,196883,68073,42500,40747,13098,25352
2011,Manufacturing,370103,107449,42841,36133,22401,72,262448,0,90071,88447,47013,41433,1624,0,280032,280703,212118,68585,38223,39518,11856,27663
2012,Manufacturing,422237,112813,43513,42404,21761,54,294535,0,90723,89551,43898,45654,1172,0,331514,321447,233441,88006,43143,44079,13329,30750
2013,Manufacturing,437812,124474,44979,44851,27187,74,293780,479,100655,99703,52623,46554,952,0,337157,330229,241989,88240,44984,45498,14391,31107
2014,Manufacturing,454984,120555,32608,52684,29067,73,331548,378,104354,80520,63076,17444,23835,0,350630,390451,294163,96288,57550,59473,18226,41247
