year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2000,Manufacturing,332394,38967,15226,0,20282,0,261585,0,151641,32534,18987,13495,107960,1161,180753,174442,131209,43234,40783,26554,6819,17479
2001,Manufacturing,306308,36106,2823,0,18467,0,241779,28423,127670,29004,13058,0,83940,0,178638,157689,136547,21142,19743,7880,7233,647
2002,Manufacturing,277281,33932,1873,35,19211,0,217159,25539,83885,25881,10305,0,30075,0,193396,173982,130512,43469,42707,35502,12840,19669
2003,Manufacturing,304436,78870,0,167,27574,0,196135,22859,58606,10935,10936,0,5114,40932,245830,199678,132455,67223,66457,72462,13853,55136
2004,Manufacturing,449194,237398,0,216,31272,0,184845,19972,121456,66926,66926,0,5776,47481,327739,321780,147429,174351,173007,171948,49798,108168
2005,Manufacturing,1021528,435154,0,118,33322,0,533774,17836,74623,44175,44175,0,29507,0,946904,428255,161827,266428,264883,273495,-27858,278517
2006,Manufacturing,1921381,613161,17095,0,89610,0,1153695,15909,454031,190875,53193,29381,184332,60829,1467350,776894,163394,613499,609383,561984,-5179,517356
2007,Manufacturing,2247969,1040700,3368,40631,104792,0,1134431,0,631686,453803,66543,12577,69888,90178,1616283,2006246,467428,1538818,1420385,1431365,412310,899606
2008,Manufacturing,2215530,871979,24094,9731,196394,0,1193449,13726,736507,650525,111138,0,0,1537,1479024,2050602,666524,1384078,1227698,1241576,340449,802446
2009,Manufacturing,2080278,740011,3845,26958,169973,0,1176567,10633,507869,271987,47596,0,0,171845,1572408,1911027,574172,1336856,1218336,1220146,348665,770417
2010,Manufacturing,2448155,1106652,415795,29561,176869,0,1189121,8730,787047,523475,103219,0,0,250602,0,2537957,612116,1925841,1784320,1785563,508571,1129630
2011,Manufacturing,3326063,1902885,1439675,45837,182959,0,1270026,6783,539977,349534,67448,0,0,183097,2786086,2622115,858101,1764014,1622433,1625385,503309,1122076
2012,Manufacturing,4134525,2030082,1459927,4146,199333,0,1840555,5193,606523,278652,164372,0,0,246248,3528002,2175298,819763,1355534,1244901,1242942,453349,789593
2013,Manufacturing,4864726,1464381,861035,7662,218642,0,2853201,3474,746320,430547,303621,4612,1336,264021,4118406,1825192,801079,1024113,955295,953761,335860,617901
2014,Manufacturing,5771984,677652,19574,2374,232542,0,4544406,9028,1306894,552572,412759,50163,402686,226371,4465090,1467097,797481,669616,611777,616135,238529,377606
