year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,1018721,618925,35739,0,309904,0,399795,0,333447,233146,143669,10472,0,0,685274,2346834,1181659,1165175,776470,680692,268962,359522
1993,Manufacturing,1203071,726880,24021,191878,419110,0,456696,0,390049,237249,123621,5850,0,0,813022,2223910,1347876,876034,481710,419434,171044,213599
1994,Manufacturing,2314526,1177953,294175,0,475402,0,1115935,0,1021363,461705,156582,6193,0,0,1293163,2995019,1661052,1333968,814464,755451,212394,481165
1995,Manufacturing,3631008,1924823,1058268,0,406359,0,1686845,0,978202,628747,416806,7525,0,0,2652806,4067479,1689335,2378144,1738739,1645398,461234,1050216
1996,Manufacturing,3473373,1617013,722233,0,468278,0,1801647,0,722131,352317,152900,0,0,0,2751242,3217952,1434095,1783857,959274,938295,249365,616402
1997,Manufacturing,4631885,2397437,1360616,245354,436933,0,2031232,0,1355065,338516,163258,58760,0,0,3276820,3554796,1858888,1695908,929292,935180,94211,777816
1998,Manufacturing,4633713,1800475,875354,0,383226,0,2418230,0,1431672,335946,159817,0,1037369,0,3202041,2822210,1736600,1085611,227621,170573,66444,84309
1999,Manufacturing,4639762,1253388,74561,0,520099,0,2861636,0,1551921,518758,214192,0,987825,0,3087841,2880257,1813295,1066961,16414,-60049,-5354,-53144
2000,Manufacturing,5886954,2266682,795879,0,542911,0,2961735,0,2364584,549332,8536,0,1548531,262798,3522370,3461784,1957289,1504495,853166,792675,159728,570461
2001,Manufacturing,6113160,2032558,1055495,302633,483651,0,3206297,695589,2454884,387296,296627,0,1806118,0,3658276,3172197,2029873,1142324,567579,453092,111721,308561
2002,Manufacturing,5902003,1472761,704471,276749,444644,0,3343053,901314,1979633,280123,280124,0,1437052,89649,3922370,3244802,2015567,1229236,987868,598311,154560,395704
2003,Manufacturing,6827886,2229932,0,404655,380693,441,3350419,1069702,2387378,716494,436933,0,1346754,324129,4440508,3788854,2227930,1560925,1328222,1186433,345839,739939
2004,Manufacturing,9544139,4153724,0,1201460,423068,400,3827563,1190976,3174529,1689238,1554205,0,1072812,412479,6369610,7279047,2277999,5001048,4747555,4462636,1248326,2852958
2005,Manufacturing,9939181,3363290,0,3022743,431594,402,4808741,1287370,3067577,1569058,1526881,0,1138767,333979,6871604,8759721,2482182,6277540,6037265,19794541,5538629,3687165
2006,Manufacturing,8312120,3178981,1401718,1136083,488081,368,5011289,88708,2668386,1628142,1589446,38696,232178,808065,5643735,11048287,2589140,8459147,8224458,7843991,2258243,4928637
2007,Manufacturing,8459432,3736102,1969783,953061,633855,328,4601793,78685,2222616,1263920,1229346,34575,172873,762424,6236816,11039017,2819663,8219353,7470224,7486263,2009710,4893931
2008,Manufacturing,6314055,1144625,203829,59192,675351,312,5036688,98280,1742262,870649,837790,32859,131435,680783,4571794,8909522,3058461,5851060,5284511,5569041,1534368,3589346
2009,Manufacturing,8291118,2642631,924985,919450,635328,22,5479693,168480,2237125,1257110,1225003,32106,96318,726618,6053993,7138263,2998312,4139952,3596043,3536721,981139,2269475
2010,Manufacturing,8133630,2842200,924577,1250645,521281,32420,5011481,146782,2388329,1566597,504112,27125,54250,633916,0,8553982,2859069,5694913,5192356,5074055,1393675,3276624
2011,Manufacturing,7713933,1948058,173525,826164,758413,67091,5344819,122498,1262743,1019910,569317,26940,26940,75930,6451190,8565863,3926388,4639475,4114369,4092838,1188554,2904285
2012,Manufacturing,8466693,2188525,348280,874083,776029,28881,5117918,170110,988426,790710,424686,26187,0,0,7478267,7731190,3661368,4069823,3582477,3704422,1102482,2601939
2013,Manufacturing,10814746,2365950,357785,787347,911547,43710,6180730,528080,1115819,789614,523185,0,0,103908,9698927,7389472,3973573,3415899,2956004,3037132,1002169,2034963
