year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,29342,10773,23,0,0,0,0,0,165,165,165,0,0,0,29176,0,0,0,-45,-1817,0,-1817
2003,28676,14377,0,0,0,14298,0,0,322,322,322,0,0,0,28354,0,0,0,-67,-1463,0,-1463
2004,25185,9910,0,0,0,15275,0,0,20,20,20,0,0,0,25165,0,0,0,-100,-3108,0,-3108
2005,24721,1210,0,0,0,16195,0,0,84,84,84,0,0,0,24638,0,0,0,-64,445,0,445
2006,25422,11355,404,0,0,14067,0,0,203,203,203,0,0,0,25218,0,0,0,-77,-565,0,-565
2007,35311,23114,3261,0,0,12197,0,0,186,186,186,0,0,0,35125,0,0,0,-370,829,185,644
2008,28131,9250,450,0,0,18881,0,0,40,40,40,0,0,0,28090,0,0,0,-39,-3075,107,-3181
2009,33179,12593,115,0,0,20586,0,0,72,72,72,0,0,0,33107,0,0,0,-198,154,117,37
2010,40754,17522,1852,0,0,23231,0,0,3161,350,350,0,0,2810,37593,0,0,0,-64,4593,235,4358
2011,40153,14518,634,0,0,0,0,0,14230,13429,13429,0,0,801,25923,0,0,0,-106,2910,139,2771
2012,30236,3257,728,0,0,0,0,0,655,628,628,0,0,28,29580,0,0,0,-152,5959,1119,4840
2013,32022,3144,958,0,0,0,0,0,13,13,13,0,0,0,32009,0,0,0,-61,2879,112,2767
