year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,825003,89188,2839,0,55588,0,667546,0,170218,113346,69571,41792,0,0,654785,276881,243075,33806,-26279,-33626,0,-33626
1998,772465,72523,4455,0,43125,0,650603,0,224140,177229,114787,59619,0,0,548325,123634,169408,-45775,-87816,-75241,0,-89388
1999,1077289,56166,1828,0,45711,0,942679,0,225018,178334,140025,30871,0,0,852271,152010,155529,-3519,-51978,-45442,0,-37956
2000,1013590,58487,1318,0,43880,0,919477,0,238003,206288,182176,23053,0,0,775587,151869,151431,438,-53150,-37581,0,-34159
2001,1037672,75754,6142,0,57446,0,895728,0,255586,203083,180784,20512,0,0,782085,142171,135544,6627,-35657,-23530,0,-28417
2002,989528,75001,2227,831,59271,0,873045,0,243366,205231,205222,10,38135,0,746162,129766,148063,-18296,-56347,-34102,0,-13576
2003,927214,68385,0,285,43572,123,851747,0,255070,226582,226581,0,28488,0,672144,122421,152247,-29825,-80444,-64349,0,-66360
2004,887834,44385,0,873,30765,143,830961,0,278689,273583,273582,0,5106,0,609145,116064,130551,-14487,-61712,-52647,0,-63062
2005,851204,54039,0,450,34320,231,789904,133,316005,313350,313349,0,1138,0,535200,117182,99399,17783,-25962,-38992,0,-52918
2006,777524,122270,5609,27274,11155,370,649582,45,449022,423870,413990,0,0,0,328502,103984,97169,6816,-31270,-42640,0,-42640
2007,784780,103023,2150,18005,11471,539,676097,24,509297,489937,475656,0,0,0,275483,125773,87928,37845,-11777,-26827,0,-26827
2008,734693,83227,10122,8714,14014,656,644822,261,471210,74353,38168,0,0,388908,0,139306,75163,64143,12496,1948,1042,135
2009,900758,75401,18141,4112,12746,917,820940,0,501217,28324,13225,0,0,362375,399541,160323,84912,75412,12692,2161,6167,-4006
2010,908580,65493,2067,7544,13248,919,837338,0,458347,28048,12434,0,0,262341,450233,135413,99464,35950,-17866,-20659,549,-21207
