year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,1229781,432469,58353,78590,152829,0,512259,0,306494,191610,114635,30140,0,0,923288,886624,457724,428901,162266,218770,31294,173853
1993,1470754,506525,120951,84747,168216,0,614257,0,457472,239447,151403,8152,0,0,1013282,784595,431140,353454,130651,165331,11403,149708
1994,2011905,491739,164168,85523,182372,0,615224,0,847928,269149,152906,7244,0,0,1163977,850811,418866,431944,208308,269772,49511,201872
1995,2108309,454638,56735,118769,189167,0,606728,0,808244,379335,183053,36399,0,0,1300065,986446,439475,546971,274076,281294,61422,196998
1996,3227564,860842,44578,262497,393724,0,1378239,0,1248842,624778,149656,223985,0,0,1978722,1442165,702557,739608,185090,175002,55193,62678
1997,3314063,890383,85207,225234,365895,0,1288660,0,1121874,379007,177021,28040,0,0,2192189,1532451,617764,914687,396289,316463,35908,249101
1998,3320058,823782,79048,194144,359836,0,1227542,0,982618,508916,207162,146116,429389,0,2337440,1398213,545390,852823,334616,253317,67066,157691
1999,3206370,1005632,316428,172247,326333,0,1171861,0,887028,615133,255232,34102,271373,0,2319342,1264685,509179,755507,258301,339697,60917,249878
2000,3324391,657940,39117,139608,310542,0,1114635,0,1259545,421389,206110,116418,758783,42886,2064846,1248569,487406,761163,309040,264122,76445,153328
2001,3467903,635402,127822,96653,279896,0,1115916,0,1161999,418569,250452,24007,712170,0,2305904,1256138,462166,793971,359544,274099,72286,162023
2002,3504353,707117,131816,74489,284322,0,1043150,486488,996554,488465,247629,0,479946,0,2507799,1467648,492341,975307,508333,480165,129951,296600
2003,3275954,566904,0,81086,172101,1057420,1075284,576346,1119398,515555,217550,0,589335,14509,2156555,1420182,513649,906533,429899,505210,119604,336385
2004,3029700,482440,0,80228,151654,1012778,1014111,517097,675236,554193,230892,0,121043,0,2354464,1403651,475683,927967,476019,429046,83600,314484
2005,2845536,554320,0,20315,102131,876743,948194,462149,560243,515497,405852,0,44745,0,2285293,1552805,521095,1031710,592371,561703,160212,342153
2006,3347766,859541,196775,37387,193129,471672,1360575,633185,672544,422106,187214,5314,12966,139901,2675221,1962471,682606,1279864,731398,767108,198304,495250
2007,3316870,879738,211526,212283,199152,381552,1407615,628339,793776,478934,421897,6623,12336,201129,2523094,2413061,733005,1680056,536422,582209,164334,357011
2008,3137908,699698,79255,273028,236303,318876,1529834,571814,1057756,686937,404460,149285,7887,270955,2080152,2493359,800114,1693245,661639,689026,190644,427773
2009,3416260,811838,214417,244394,232076,347272,1638911,601555,1438730,738925,585380,3650,325159,308570,1977530,2723858,853600,1870259,805847,852991,225913,543407
2010,3312350,835674,177867,210782,177295,333429,1555551,564686,1359147,1038870,645054,246416,666,292811,0,2848422,823763,1999581,734219,788896,236346,552550
2011,3377044,837779,122776,226400,189979,6764,1763502,486009,1361603,953062,634500,110787,0,375460,2015441,3090886,867693,2223193,962686,1044939,313306,731633
2012,3542450,720380,116614,280497,185192,4729,1974399,554113,1688047,1111312,860101,118656,137248,410569,1854403,3561957,974095,2587863,1187788,1356270,381624,974645
2013,3636424,765516,96091,301536,195924,5090,2022671,286296,1793564,1079067,858273,128830,312408,370021,1842860,3582222,960123,2622099,1221192,1314511,388345,926166
