year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,519947,82260,4521,0,57463,0,373939,0,49950,38902,23396,440,0,0,466948,314567,195062,119505,32005,27701,11264,16436
1993,Manufacturing,597405,191434,104419,0,72978,0,351113,0,87286,79050,48274,3479,0,0,504101,399839,202052,197788,157820,98014,33068,52632
1994,Manufacturing,648261,274162,162036,0,93217,0,323099,0,124202,113621,76174,868,0,0,524059,489797,213926,275871,162934,172709,52467,100731
1995,Manufacturing,706380,281397,127756,0,131977,0,374769,0,118424,104212,61787,7404,0,0,587956,590689,291882,298807,184160,197293,56916,119183
1996,Manufacturing,997039,279169,125523,0,118405,0,640132,0,343138,130964,66779,11211,0,0,653901,605314,296281,309033,190698,207618,61804,122871
1997,Manufacturing,1315585,329716,162882,0,128889,0,882520,0,553750,158262,90000,8381,0,0,722532,708607,357429,351178,252998,278815,75411,175354
1998,Manufacturing,1476290,261225,46972,0,156563,0,1079617,0,614248,204224,88023,377,0,0,794806,725657,299370,426287,299598,293877,80818,183025
1999,Manufacturing,1531953,260801,33828,0,183080,0,1136504,32857,603164,197159,83162,205,0,0,846696,684711,261815,422896,282940,254428,70716,157455
2000,Manufacturing,1462169,275051,33670,8728,204844,0,1040671,38649,555758,307657,87036,530,187646,60456,906411,666068,247606,418462,240509,199264,39348,139151
2001,Manufacturing,1352420,248936,8714,17269,195697,0,957936,41907,413758,204738,72068,4789,139827,0,938662,640424,269119,371305,190658,178687,59081,99196
2002,Manufacturing,1310406,239243,8140,21245,176110,0,894801,40830,396622,263195,137457,45652,60229,0,913784,703605,306176,397430,208578,199462,48469,128515
2003,Manufacturing,1267215,250220,0,29612,188228,36645,856718,65294,282979,190413,79493,0,20889,71678,984236,708239,313950,394289,185087,186888,49022,122364
2004,Manufacturing,1252198,279046,0,20797,211901,36583,802631,67782,248259,168918,97806,0,6291,73050,1003939,723539,404990,318549,185112,201008,56859,123292
2005,Manufacturing,1297026,327289,0,38061,227080,35322,777458,67724,294146,237983,100884,0,0,56163,1002881,810277,476057,334220,196517,190818,50408,121666
2006,Manufacturing,1300708,263924,33485,14689,153167,118221,734980,60730,232431,185970,78713,77815,0,46461,1068277,912408,512003,400405,249691,258839,67257,166671
2007,Manufacturing,1602144,326518,26375,49265,192566,374926,723043,58079,512574,295380,104218,0,183773,33421,1089570,992533,488136,504397,350900,359138,92701,232104
2008,Manufacturing,1873448,365672,7302,49813,243286,612605,710486,54915,792638,336048,115988,29877,431621,24968,1080810,1024568,506251,518317,357746,319378,88164,198560
2009,Manufacturing,2509428,426081,67050,51351,239391,955483,850205,59219,1260826,371175,113202,119039,839306,41364,1248602,1051828,537937,513891,324569,331250,86980,212055
2010,Manufacturing,3116236,589559,236772,49871,228564,1263983,960685,56226,1804735,752105,130712,417293,985559,56117,0,1162440,538286,592791,396624,324664,99649,189186
2011,Manufacturing,3824910,396629,30362,50549,225827,123,2033646,44204,1857248,719529,181272,430759,813014,305308,1967662,1070065,554710,515354,327669,314019,92427,221593
2012,Manufacturing,6241505,723211,76217,75391,431251,0,3704314,69085,2848655,1201883,270753,897365,1098733,532813,3392850,1773079,1015631,757448,508923,530193,160563,369630
2013,Manufacturing,6559755,941681,198642,64481,474685,1664751,3742582,70025,3117145,907879,179024,701397,1646714,550224,3442610,1805734,1046686,759048,522938,307561,101107,206454
2014,Manufacturing,8293095,942546,32086,62770,600661,0,3886221,68636,4680198,879805,229554,531833,3303102,476923,3612897,1877145,1048811,828334,580593,313080,23867,289214
